metric,method,value,reference,reference_value,delta,noise_scale,ratio_to_noise,verdict
mean_width,kinematic_gbr,0.5693370695294643,dtw_reference,0.5396050593692633,0.029732010160200995,0.0179506512807011,1.656319299799787,suggestive
mean_width,framewise_reference,0.5702634198032881,dtw_reference,0.5396050593692633,0.03065836043402481,0.0179506512807011,1.7079246849937908,suggestive
error_auroc,saqa_stgcn,0.5347368421052632,dtw_reference,0.474351395730706,0.06038544637455717,0.0516344407936921,1.1694800107515473,suggestive
error_auroc,stgcn_dense,0.5085903679653679,dtw_reference,0.474351395730706,0.034238972234661935,0.0516344407936921,0.6631033803864633,inside noise
error_auroc,tcn,0.5490506329113924,dtw_reference,0.474351395730706,0.07469923718068644,0.0516344407936921,1.4466940288779508,suggestive
error_auroc,lstm,0.498526936026936,dtw_reference,0.474351395730706,0.02417554029622998,0.0516344407936921,0.4682057154995542,inside noise
error_auroc,frame_average,0.4971317990185914,dtw_reference,0.474351395730706,0.022780403287885387,0.0516344407936921,0.441186210942142,inside noise
error_auroc,untrained_stgcn,0.5552083333333333,dtw_reference,0.474351395730706,0.0808569376026273,0.0516344407936921,1.5659497103046993,suggestive
error_auroc,kinematic_gbr,0.539836928608115,dtw_reference,0.474351395730706,0.06548553287740905,0.0516344407936921,1.2682529697389318,suggestive
error_auroc,framewise_reference,0.5193333333333333,dtw_reference,0.474351395730706,0.04498193760262731,0.0516344407936921,0.8711615137337269,inside noise
